,Census Tract Info,state,county,tract,tract_GEOID,tract_GEOID_num,Total Population,Employment Status for the Population 16 Years and Over,Median household income in the past 12 months (in 2022 inflation-adjusted dollars),Units in Structure - Total,"Units in Structure - Total, 1 (detached)","Units in Structure - Total, 1 (attached)","Units in Structure - Total, 2","Units in Structure - Total, 3 or 4","Units in Structure - Total, 5 to 9","Units in Structure - Total, 10 to 19","Units in Structure - Total, 20 to 49","Units in Structure - Total, 50 or more","Units in Structure - Total, Mobile Home","Units in Structure - Total, Boat, RV, van, etc.",Owner-occupied housing units with no vehicle available,Owner-occupied housing units with 1 vehicle available,Owner-occupied housing units with 2 vehicles available,Owner-occupied housing units with 3 or more vehicles available,Renter-occupied housing units with no vehicle available,Renter-occupied housing units with 1 vehicle available,Renter-occupied housing units with 2 vehicles available,Renter-occupied housing units with 3 or more vehicles available,perc_single_unit_dwellings,perc_multi_unit_dwellings,perc_other_unit_dwellings,Race - Total,Race - White Alone,Race - Black or African American alone,Race - American Indian and Alaska Native alone,Race - Asian alone,Race - Native Hawaiian and Other Pacific Islander alone,Race - Some Other Race alone,Race - Two or More Races,Majority Race,Identified as disadvantaged without considering neighbors,Identified as disadvantaged based on neighbors and relaxed low income threshold only,Identified as disadvantaged due to tribal overlap,Identified as disadvantaged,num_private_charger,num_public_charger,Total Vehicle Count,geometry,potential_home_chargers_per_veh,exist_home_chargers_per_veh
48,Census Tract 4047; Alameda County; California,6,1,404700,6001404700,6001404700,2187.0,1829.0,250001.0,906.0,875.0,7.0,0.0,13.0,4.0,7.0,0.0,0.0,0.0,0.0,803.0,0.0,147.0,457.0,132.0,45.0,22.0,46.0,97.35099337748343,2.6490066225165565,0.0,2187.0,1555.0,100.0,0.0,252.0,0.0,62.0,218.0,Race - White Alone,False,False,,False,0.0,0.0,1892.0,"POLYGON ((-122.214183 37.813047, -122.213204 37.814506, -122.213091 37.814657, -122.212968 37.814913, -122.212906 37.815168, -122.212826 37.815812, -122.212751 37.816127, -122.212469 37.816722, -122.210178 37.818613, -122.208835 37.819555, -122.207288 37.821554, -122.202201 37.815205, -122.199439 37.812007, -122.197791 37.810589, -122.201658 37.810169, -122.206073 37.807279, -122.207372 37.806409, -122.20971 37.807045, -122.209615 37.807805, -122.21206 37.809955, -122.21091 37.81061, -122.213383 37.812182, -122.214677 37.812688, -122.214183 37.813047))",0.49576158940397347,0.3281456953642384
49,Census Tract 4048; Alameda County; California,6,1,404800,6001404800,6001404800,2744.0,2285.0,114083.0,1225.0,576.0,79.0,14.0,103.0,71.0,118.0,168.0,96.0,0.0,0.0,566.0,27.0,195.0,256.0,88.0,0.0,0.0,579.0,53.46938775510204,46.53061224489796,0.0,2744.0,1606.0,315.0,140.0,444.0,0.0,72.0,167.0,Race - White Alone,False,False,,False,0.0,0.0,2922.0,"POLYGON ((-122.218248 37.800859, -122.21582 37.805392, -122.215177 37.809854, -122.213383 37.812182, -122.21091 37.81061, -122.21206 37.809955, -122.209615 37.807805, -122.20971 37.807045, -122.207372 37.806409, -122.211014 37.80286, -122.214117 37.799805, -122.216221 37.800294, -122.218248 37.800859))",0.4255510204081633,0.29742857142857143
50,Census Tract 4049; Alameda County; California,6,1,404900,6001404900,6001404900,4669.0,3880.0,151860.0,2125.0,1289.0,97.0,230.0,87.0,93.0,66.0,134.0,114.0,15.0,0.0,1195.0,54.0,337.0,688.0,90.0,26.0,0.0,846.0,65.2235294117647,34.07058823529412,0.7058823529411765,4669.0,2816.0,283.0,30.0,649.0,34.0,218.0,639.0,Race - White Alone,False,False,,False,0.0,1.0,5356.0,"POLYGON ((-122.230803 37.802906, -122.228892 37.804571, -122.224827 37.806307, -122.22174 37.807758, -122.218192 37.809146, -122.21762 37.809588, -122.217092 37.810192, -122.215879 37.811132, -122.215582 37.811513, -122.215174 37.812276, -122.214677 37.812688, -122.213383 37.812182, -122.215177 37.809854, -122.21582 37.805392, -122.218248 37.800859, -122.216221 37.800294, -122.216974 37.798404, -122.218581 37.798803, -122.220981 37.799362, -122.22417 37.799977, -122.228499 37.80097, -122.23117 37.802605, -122.230803 37.802906))",0.4419576470588235,0.30382117647058826
51,Census Tract 4050; Alameda County; California,6,1,405000,6001405000,6001405000,3665.0,3015.0,152857.0,1774.0,1091.0,47.0,67.0,202.0,127.0,59.0,26.0,146.0,9.0,0.0,1101.0,24.0,422.0,489.0,133.0,33.0,0.0,479.0,64.14881623449831,35.34385569334837,0.5073280721533258,3665.0,2126.0,493.0,18.0,456.0,0.0,34.0,538.0,Race - White Alone,False,False,,False,0.0,1.0,3805.0,"POLYGON ((-122.246066 37.810113, -122.243289 37.811055, -122.2372 37.807052, -122.234992 37.8072, -122.233008 37.806888, -122.23106 37.807199, -122.227693 37.808099, -122.225047 37.809952, -122.222502 37.81103, -122.220905 37.813316, -122.220433 37.813439, -122.220211 37.813407, -122.217935 37.812891, -122.215174 37.812276, -122.215582 37.811513, -122.215879 37.811132, -122.217092 37.810192, -122.21762 37.809588, -122.218192 37.809146, -122.22174 37.807758, -122.224827 37.806307, -122.228892 37.804571, -122.230803 37.802906, -122.23117 37.802605, -122.233397 37.804375, -122.235416 37.805624, -122.241982 37.808552, -122.246504 37.809841, -122.246066 37.810113))",0.440913190529876,0.30358511837655017
52,Census Tract 4051; Alameda County; California,6,1,405100,6001405100,6001405100,4508.0,3533.0,250001.0,1786.0,1711.0,37.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,9.0,1616.0,17.0,508.0,846.0,162.0,44.0,39.0,86.0,97.87234042553192,1.6237402015677491,0.503919372900336,4508.0,3015.0,255.0,0.0,547.0,10.0,115.0,566.0,Race - White Alone,False,False,,False,0.0,0.0,3951.0,"POLYGON ((-122.242276 37.811565, -122.241101 37.81276, -122.239028 37.814281, -122.238144 37.815118, -122.232012 37.81433, -122.233001 37.816115, -122.233296 37.816492, -122.232245 37.816194, -122.229736 37.815646, -122.229496 37.815598, -122.227109 37.815045, -122.225988 37.814782, -122.225234 37.814605, -122.225227 37.814358, -122.224011 37.81435, -122.221714 37.813669, -122.221609 37.813701, -122.220433 37.813439, -122.220905 37.813316, -122.222502 37.81103, -122.225047 37.809952, -122.227693 37.808099, -122.23106 37.807199, -122.233008 37.806888, -122.234992 37.8072, -122.2372 37.807052, -122.243289 37.811055, -122.242276 37.811565))",0.4948824188129899,0.3272004479283315
53,Census Tract 4052; Alameda County; California,6,1,405200,6001405200,6001405200,4913.0,4261.0,105222.0,2564.0,612.0,11.0,99.0,440.0,432.0,537.0,418.0,15.0,0.0,0.0,587.0,20.0,228.0,257.0,67.0,0.0,15.0,1705.0,24.297971918876755,75.70202808112325,0.0,4913.0,1812.0,680.0,0.0,1939.0,0.0,156.0,326.0,Race - Asian alone,False,False,,False,0.0,0.0,6392.0,"POLYGON ((-122.250597 37.805237, -122.249148 37.808391, -122.246702 37.809703, -122.246504 37.809841, -122.241982 37.808552, -122.235416 37.805624, -122.233397 37.804375, -122.234866 37.803376, -122.237222 37.803121, -122.240188 37.802549, -122.241671 37.802399, -122.242352 37.80232, -122.243982 37.801855, -122.246539 37.801387, -122.248411 37.800443, -122.249013 37.803014, -122.249318 37.804823, -122.250597 37.805237))",0.3788767550702028,0.27700858034321374
54,Census Tract 4053.01; Alameda County; California,6,1,405301,6001405301,6001405301,2872.0,2566.0,112656.0,1727.0,80.0,55.0,34.0,198.0,243.0,393.0,506.0,218.0,0.0,0.0,147.0,29.0,36.0,82.0,0.0,0.0,0.0,1332.0,7.81702374059062,92.18297625940936,0.0,2872.0,1460.0,410.0,0.0,447.0,5.0,236.0,314.0,Race - White Alone,False,False,,False,0.0,0.0,4343.0,"POLYGON ((-122.254468 37.801838, -122.254073 37.802521, -122.253447 37.803608, -122.250597 37.805237, -122.249318 37.804823, -122.249013 37.803014, -122.248411 37.800443, -122.248984 37.800323, -122.250539 37.800137, -122.251017 37.79918, -122.251935 37.799731, -122.254505 37.800561, -122.254468 37.801838))",0.35250723798494493,0.2654719166184134
55,Census Tract 4053.02; Alameda County; California,6,1,405302,6001405302,6001405302,2559.0,2461.0,63709.0,1686.0,54.0,56.0,59.0,153.0,218.0,307.0,384.0,455.0,0.0,0.0,126.0,0.0,60.0,41.0,25.0,0.0,0.0,1413.0,6.524317912218268,93.47568208778172,0.0,2559.0,884.0,605.0,40.0,795.0,11.0,71.0,153.0,Race - White Alone,True,False,,True,0.0,1.0,4482.0,"POLYGON ((-122.257805 37.799704, -122.254505 37.800561, -122.251935 37.799731, -122.251017 37.79918, -122.250162 37.798427, -122.252043 37.797093, -122.253855 37.795785, -122.254666 37.796499, -122.255481 37.797239, -122.25713 37.798725, -122.259554 37.798301, -122.257805 37.799704))",0.2917437722419928,0.22456702253855276
56,Census Tract 4054.01; Alameda County; California,6,1,405401,6001405401,6001405401,3541.0,3182.0,70231.0,1784.0,184.0,52.0,116.0,151.0,373.0,504.0,367.0,37.0,0.0,0.0,156.0,38.0,50.0,0.0,18.0,50.0,0.0,1428.0,13.228699551569504,86.7713004484305,0.0,3541.0,961.0,476.0,13.0,1132.0,0.0,665.0,294.0,Race - Asian alone,True,False,,True,0.0,0.0,4472.0,"POLYGON ((-122.252043 37.797093, -122.250162 37.798427, -122.251017 37.79918, -122.250539 37.800137, -122.248984 37.800323, -122.24665 37.79828, -122.245002 37.796765, -122.246824 37.795476, -122.248697 37.794132, -122.250515 37.792834, -122.251356 37.793563, -122.253855 37.795785, -122.252043 37.797093))",0.30381165919282516,0.22926008968609865
57,Census Tract 4054.02; Alameda County; California,6,1,405402,6001405402,6001405402,3673.0,3138.0,61204.0,1332.0,77.0,151.0,168.0,123.0,380.0,190.0,186.0,57.0,0.0,0.0,125.0,0.0,52.0,39.0,6.0,14.0,14.0,1107.0,17.117117117117118,82.88288288288288,0.0,3673.0,880.0,561.0,10.0,1315.0,7.0,847.0,53.0,Race - Asian alone,True,False,,True,0.0,0.0,3584.0,"POLYGON ((-122.248697 37.794132, -122.246824 37.795476, -122.245002 37.796765, -122.243346 37.795289, -122.241694 37.793825, -122.242618 37.793164, -122.243512 37.792528, -122.247175 37.789913, -122.248014 37.790626, -122.250515 37.792834, -122.248697 37.794132))",0.31081081081081086,0.23198198198198197
58,Census Tract 4055; Alameda County; California,6,1,405500,6001405500,6001405500,3537.0,3178.0,82222.0,1748.0,429.0,98.0,182.0,415.0,312.0,208.0,80.0,24.0,0.0,0.0,405.0,67.0,180.0,94.0,53.0,11.0,0.0,1205.0,30.148741418764303,69.8512585812357,0.0,3537.0,838.0,690.0,70.0,1313.0,34.0,380.0,212.0,Race - Asian alone,False,False,,False,0.0,0.0,4335.0,"POLYGON ((-122.248411 37.800443, -122.246539 37.801387, -122.243982 37.801855, -122.242352 37.80232, -122.241671 37.802399, -122.242198 37.801722, -122.242961 37.800873, -122.241291 37.799393, -122.240474 37.798669, -122.239635 37.797933, -122.237973 37.79646, -122.239833 37.795136, -122.241694 37.793825, -122.243346 37.795289, -122.245002 37.796765, -122.24665 37.79828, -122.248984 37.800323, -122.248411 37.800443))",0.3342677345537758,0.241104118993135
59,Census Tract 4056; Alameda County; California,6,1,405600,6001405600,6001405600,3044.0,2728.0,80669.0,1634.0,379.0,90.0,266.0,210.0,264.0,307.0,118.0,0.0,0.0,0.0,378.0,18.0,127.0,169.0,11.0,8.0,45.0,1069.0,28.702570379436963,71.29742962056304,0.0,3044.0,1241.0,544.0,32.0,672.0,0.0,257.0,298.0,Race - White Alone,False,False,,False,0.0,0.0,4084.0,"POLYGON ((-122.242198 37.801722, -122.241671 37.802399, -122.240188 37.802549, -122.237222 37.803121, -122.234866 37.803376, -122.233397 37.804375, -122.23117 37.802605, -122.233791 37.800539, -122.234679 37.799827, -122.235229 37.799419, -122.236024 37.798408, -122.237121 37.797052, -122.237973 37.79646, -122.239635 37.797933, -122.240474 37.798669, -122.241291 37.799393, -122.242961 37.800873, -122.242198 37.801722))",0.3316646266829866,0.24009179926560587
60,Census Tract 4057; Alameda County; California,6,1,405700,6001405700,6001405700,3522.0,2978.0,74547.0,1605.0,411.0,152.0,76.0,296.0,168.0,134.0,327.0,41.0,0.0,0.0,463.0,14.0,168.0,192.0,48.0,29.0,12.0,1042.0,35.07788161993769,64.92211838006232,0.0,3522.0,609.0,985.0,36.0,934.0,0.0,684.0,274.0,Race - Black or African American alone,False,False,,False,0.0,0.0,4105.0,"POLYGON ((-122.235229 37.799419, -122.234679 37.799827, -122.233791 37.800539, -122.23117 37.802605, -122.228499 37.80097, -122.22417 37.799977, -122.224985 37.798117, -122.225399 37.7976, -122.226685 37.793545, -122.22841 37.793872, -122.229817 37.794708, -122.231892 37.795952, -122.2306 37.797476, -122.233174 37.796691, -122.236024 37.798408, -122.235229 37.799419))",0.3431401869158879,0.24455451713395637
61,Census Tract 4058; Alameda County; California,6,1,405800,6001405800,6001405800,4182.0,3230.0,67222.0,1442.0,610.0,88.0,161.0,370.0,202.0,0.0,0.0,11.0,0.0,0.0,479.0,0.0,128.0,200.0,135.0,8.0,8.0,863.0,48.40499306518724,51.59500693481276,0.0,4182.0,630.0,850.0,46.0,1815.0,0.0,552.0,289.0,Race - Asian alone,True,False,,True,0.0,0.0,3469.0,"POLYGON ((-122.237973 37.79646, -122.237121 37.797052, -122.236024 37.798408, -122.233174 37.796691, -122.2306 37.797476, -122.231892 37.795952, -122.229817 37.794708, -122.22841 37.793872, -122.226685 37.793545, -122.229001 37.790821, -122.230914 37.789441, -122.231583 37.789907, -122.233339 37.790957, -122.23544 37.792224, -122.235512 37.792267, -122.237547 37.793494, -122.237951 37.794948, -122.239833 37.795136, -122.237973 37.79646))",0.3671289875173371,0.253883495145631
62,Census Tract 4059.01; Alameda County; California,6,1,405901,6001405901,6001405901,3757.0,2784.0,51292.0,1219.0,555.0,94.0,113.0,235.0,109.0,81.0,19.0,13.0,0.0,0.0,276.0,0.0,48.0,73.0,99.0,49.0,7.0,813.0,53.24036095159968,46.75963904840032,0.0,3757.0,434.0,643.0,91.0,1261.0,109.0,523.0,696.0,Race - Asian alone,True,True,,True,0.0,0.0,2817.0,"POLYGON ((-122.239448 37.788135, -122.237974 37.789708, -122.237876 37.789765, -122.235512 37.792267, -122.23544 37.792224, -122.233339 37.790957, -122.231583 37.789907, -122.230914 37.789441, -122.23196 37.788044, -122.232013 37.78758, -122.232503 37.786558, -122.234054 37.785193, -122.234113 37.785138, -122.234293 37.784972, -122.2359 37.78341, -122.241044 37.786487, -122.239448 37.788135))",0.31583264971287944,0.1751845775225595
63,Census Tract 4059.02; Alameda County; California,6,1,405902,6001405902,6001405902,3138.0,2599.0,69097.0,1078.0,502.0,60.0,217.0,181.0,105.0,0.0,7.0,6.0,0.0,0.0,360.0,13.0,82.0,130.0,74.0,32.0,29.0,563.0,52.13358070500927,47.86641929499073,0.0,3138.0,407.0,234.0,27.0,1275.0,0.0,789.0,406.0,Race - Asian alone,True,False,,True,0.0,0.0,2346.0,"POLYGON ((-122.247175 37.789913, -122.243512 37.792528, -122.242618 37.793164, -122.241694 37.793825, -122.239833 37.795136, -122.237951 37.794948, -122.237547 37.793494, -122.235512 37.792267, -122.237876 37.789765, -122.237974 37.789708, -122.239448 37.788135, -122.241044 37.786487, -122.245238 37.788992, -122.247175 37.789913))",0.3738404452690167,0.2564935064935065
64,Census Tract 4060; Alameda County; California,6,1,406000,6001406000,6001406000,4735.0,3985.0,56763.0,1956.0,354.0,125.0,141.0,354.0,184.0,97.0,187.0,514.0,0.0,0.0,336.0,101.0,61.0,104.0,21.0,9.0,40.0,1480.0,24.48875255623722,75.51124744376278,0.0,4735.0,967.0,910.0,55.0,1939.0,0.0,762.0,102.0,Race - Asian alone,True,False,,True,0.0,1.0,5064.0,"POLYGON ((-122.262963 37.791175, -122.261327 37.793807, -122.260806 37.79528, -122.259577 37.79632, -122.259496 37.796832, -122.259554 37.798301, -122.25713 37.798725, -122.255481 37.797239, -122.254666 37.796499, -122.253855 37.795785, -122.251356 37.793563, -122.250515 37.792834, -122.248014 37.790626, -122.247175 37.789913, -122.245238 37.788992, -122.241044 37.786487, -122.2359 37.78341, -122.238723 37.783516, -122.237421 37.782134, -122.236318 37.776643, -122.235862 37.772645, -122.236566 37.771731, -122.240498 37.773732, -122.243536 37.776278, -122.244817 37.779123, -122.245219 37.783033, -122.246591 37.784679, -122.251332 37.786881, -122.253958 37.786779, -122.256889 37.785677, -122.260056 37.784489, -122.268544 37.787934, -122.262963 37.791175))",0.264079754601227,0.12918200408997954
65,Census Tract 4061; Alameda County; California,6,1,406100,6001406100,6001406100,4939.0,4215.0,64879.0,1997.0,396.0,223.0,193.0,209.0,43.0,111.0,285.0,533.0,4.0,0.0,635.0,21.0,297.0,255.0,59.0,3.0,0.0,1175.0,30.996494742113168,68.80320480721082,0.2003004506760139,4939.0,1310.0,508.0,86.0,1013.0,5.0,1574.0,443.0,Race - Some Other Race alone,True,False,,True,0.0,0.0,4908.0,"POLYGON ((-122.238723 37.783516, -122.2359 37.78341, -122.231481 37.780769, -122.229093 37.779343, -122.227853 37.778614, -122.225803 37.777643, -122.220855 37.77526, -122.218938 37.774348, -122.214794 37.772376, -122.21714 37.770585, -122.223756 37.765579, -122.224904 37.764563, -122.226583 37.766934, -122.230205 37.768977, -122.236488 37.771696, -122.236566 37.771731, -122.235862 37.772645, -122.236318 37.776643, -122.237421 37.782134, -122.238723 37.783516))",0.3352328492739109,0.241256885327992
66,Census Tract 4062.01; Alameda County; California,6,1,406201,6001406201,6001406201,5072.0,3910.0,50417.0,1604.0,446.0,58.0,162.0,222.0,62.0,239.0,342.0,73.0,0.0,0.0,308.0,0.0,37.0,78.0,85.0,93.0,15.0,1207.0,31.421446384039903,68.5785536159601,0.0,5072.0,385.0,723.0,253.0,1446.0,178.0,2058.0,29.0,Race - Some Other Race alone,True,True,,True,0.0,0.0,4052.0,"POLYGON ((-122.234293 37.784972, -122.234113 37.785138, -122.234054 37.785193, -122.232503 37.786558, -122.232013 37.78758, -122.23196 37.788044, -122.230914 37.789441, -122.228901 37.788213, -122.225307 37.786098, -122.226792 37.784511, -122.227537 37.78495, -122.229935 37.782402, -122.231481 37.780769, -122.2359 37.78341, -122.234293 37.784972))",0.2765586034912718,0.14027431421446385
67,Census Tract 4062.02; Alameda County; California,6,1,406202,6001406202,6001406202,4733.0,3963.0,55000.0,1460.0,287.0,66.0,84.0,223.0,142.0,220.0,279.0,152.0,7.0,0.0,172.0,0.0,19.0,97.0,37.0,0.0,19.0,1178.0,24.178082191780824,75.34246575342466,0.4794520547945206,4733.0,634.0,592.0,302.0,722.0,3.0,2035.0,445.0,Race - Some Other Race alone,True,True,,True,0.0,0.0,3901.0,"POLYGON ((-122.229935 37.782402, -122.227537 37.78495, -122.226792 37.784511, -122.225307 37.786098, -122.224369 37.785646, -122.222249 37.784938, -122.222729 37.783749, -122.2239 37.781409, -122.224719 37.779772, -122.225803 37.777643, -122.227853 37.778614, -122.229093 37.779343, -122.231481 37.780769, -122.229935 37.782402))",0.26246575342465756,0.12825342465753425
68,Census Tract 4063; Alameda County; California,6,1,406300,6001406300,6001406300,4556.0,3602.0,62837.0,1459.0,775.0,145.0,110.0,179.0,11.0,53.0,0.0,164.0,22.0,0.0,615.0,15.0,234.0,181.0,109.0,41.0,35.0,764.0,63.056888279643594,35.43522960932145,1.5078821110349554,4556.0,683.0,880.0,17.0,980.0,67.0,1528.0,401.0,Race - Some Other Race alone,True,False,,True,0.0,0.0,3429.0,"POLYGON ((-122.229001 37.790821, -122.226685 37.793545, -122.225428 37.793037, -122.222667 37.791538, -122.221573 37.790949, -122.219995 37.790516, -122.221193 37.787599, -122.222249 37.784938, -122.224369 37.785646, -122.225307 37.786098, -122.228901 37.788213, -122.230914 37.789441, -122.229001 37.790821))",0.3892803289924607,0.2608224811514736
69,Census Tract 4064; Alameda County; California,6,1,406400,6001406400,6001406400,2598.0,2109.0,72955.0,872.0,402.0,4.0,94.0,231.0,33.0,19.0,18.0,71.0,0.0,0.0,344.0,10.0,132.0,131.0,45.0,15.0,11.0,480.0,46.559633027522935,53.44036697247706,0.0,2598.0,747.0,436.0,5.0,564.0,70.0,525.0,251.0,Race - White Alone,True,False,,True,0.0,0.0,2144.0,"POLYGON ((-122.226685 37.793545, -122.225399 37.7976, -122.224985 37.798117, -122.22417 37.799977, -122.220981 37.799362, -122.218581 37.798803, -122.216974 37.798404, -122.217936 37.795826, -122.218469 37.794476, -122.219751 37.791152, -122.219995 37.790516, -122.221573 37.790949, -122.222667 37.791538, -122.225428 37.793037, -122.226685 37.793545))",0.36380733944954124,0.252591743119266
70,Census Tract 4065; Alameda County; California,6,1,406500,6001406500,6001406500,6494.0,5225.0,67717.0,2069.0,829.0,124.0,85.0,612.0,239.0,125.0,28.0,0.0,27.0,0.0,625.0,23.0,235.0,235.0,86.0,46.0,0.0,1295.0,46.06089898501692,52.63412276462059,1.304978250362494,6494.0,999.0,861.0,337.0,1370.0,178.0,2205.0,544.0,Race - Some Other Race alone,True,True,,True,0.0,0.0,5129.0,"POLYGON ((-122.222249 37.784938, -122.221193 37.787599, -122.219995 37.790516, -122.219751 37.791152, -122.218469 37.794476, -122.216297 37.793686, -122.216996 37.792796, -122.214825 37.791757, -122.211685 37.790305, -122.211104 37.789688, -122.209819 37.788303, -122.210377 37.787975, -122.211978 37.78704, -122.214028 37.785834, -122.215271 37.785099, -122.217565 37.783713, -122.2191 37.7822, -122.219322 37.782476, -122.222729 37.783749, -122.222249 37.784938))",0.3592556790720155,0.24937167713871436
71,Census Tract 4066.01; Alameda County; California,6,1,406601,6001406601,6001406601,4531.0,4065.0,75000.0,1881.0,957.0,124.0,88.0,285.0,250.0,56.0,58.0,53.0,0.0,10.0,849.0,0.0,414.0,302.0,127.0,0.0,6.0,987.0,57.46943115364168,41.99893673577884,0.531632110579479,4531.0,1088.0,1360.0,71.0,808.0,0.0,720.0,484.0,Race - Black or African American alone,True,False,,True,0.0,0.0,4707.0,"POLYGON ((-122.21253 37.794736, -122.208794 37.798478, -122.208027 37.7986, -122.203371 37.796096, -122.200653 37.793713, -122.203203 37.792197, -122.204783 37.791252, -122.2068 37.790069, -122.209819 37.788303, -122.211104 37.789688, -122.211685 37.790305, -122.214825 37.791757, -122.21253 37.794736))",0.3819564061669325,0.2590590111642743
72,Census Tract 4066.02; Alameda County; California,6,1,406602,6001406602,6001406602,2540.0,1932.0,58869.0,1011.0,292.0,86.0,70.0,151.0,155.0,162.0,90.0,0.0,5.0,0.0,281.0,6.0,81.0,120.0,51.0,23.0,0.0,644.0,37.388724035608305,62.11671612265084,0.4945598417408506,2540.0,384.0,600.0,36.0,567.0,0.0,600.0,353.0,Race - Black or African American alone,True,False,,True,0.0,0.0,2483.0,"POLYGON ((-122.217936 37.795826, -122.216974 37.798404, -122.216221 37.800294, -122.214117 37.799805, -122.208794 37.798478, -122.21253 37.794736, -122.214825 37.791757, -122.216996 37.792796, -122.216297 37.793686, -122.218469 37.794476, -122.217936 37.795826))",0.2862116716122651,0.14937685459940653
73,Census Tract 4067; Alameda County; California,6,1,406700,6001406700,6001406700,5380.0,4579.0,143887.0,2315.0,1721.0,91.0,88.0,248.0,108.0,0.0,26.0,33.0,0.0,0.0,1379.0,17.0,431.0,530.0,331.0,70.0,0.0,704.0,78.27213822894169,21.727861771058315,0.0,5380.0,2888.0,382.0,1.0,1082.0,273.0,258.0,496.0,Race - White Alone,False,False,,False,0.0,0.0,4651.0,"POLYGON ((-122.211014 37.80286, -122.207372 37.806409, -122.206073 37.807279, -122.201658 37.810169, -122.197791 37.810589, -122.195357 37.808705, -122.194059 37.807423, -122.195038 37.808233, -122.192556 37.805123, -122.194499 37.805509, -122.192665 37.803075, -122.194085 37.802956, -122.193382 37.801326, -122.194663 37.80177, -122.19677 37.798152, -122.197644 37.799397, -122.198397 37.800064, -122.200506 37.79692, -122.202104 37.797091, -122.203371 37.796096, -122.208027 37.7986, -122.208794 37.798478, -122.214117 37.799805, -122.211014 37.80286))",0.46523542116630673,0.3147904967602592
74,Census Tract 4068; Alameda County; California,6,1,406800,6001406800,6001406800,3971.0,3119.0,131161.0,1541.0,1152.0,28.0,113.0,200.0,36.0,0.0,0.0,11.0,1.0,0.0,1004.0,12.0,294.0,412.0,251.0,23.0,12.0,405.0,76.57365347177158,23.36145360155743,0.0648929266709928,3971.0,1323.0,919.0,9.0,784.0,6.0,254.0,676.0,Race - White Alone,False,False,,False,0.0,0.0,3098.0,"POLYGON ((-122.202104 37.797091, -122.200506 37.79692, -122.198397 37.800064, -122.197644 37.799397, -122.19677 37.798152, -122.194663 37.80177, -122.193382 37.801326, -122.194085 37.802956, -122.192665 37.803075, -122.194499 37.805509, -122.192556 37.805123, -122.195038 37.808233, -122.194059 37.807423, -122.190151 37.802808, -122.185369 37.798489, -122.187682 37.798822, -122.191753 37.798872, -122.193066 37.798061, -122.192472 37.797505, -122.191046 37.795698, -122.191543 37.795091, -122.191623 37.795028, -122.194306 37.793458, -122.198304 37.791118, -122.200653 37.793713, -122.203371 37.796096, -122.202104 37.797091))",0.4622972096041531,0.31343283582089554
75,Census Tract 4069; Alameda County; California,6,1,406900,6001406900,6001406900,3865.0,3314.0,137943.0,1632.0,926.0,92.0,63.0,199.0,176.0,109.0,13.0,54.0,0.0,0.0,965.0,45.0,282.0,435.0,155.0,25.0,23.0,614.0,62.377450980392155,37.622549019607845,0.0,3865.0,1611.0,691.0,0.0,887.0,38.0,175.0,463.0,Race - White Alone,False,False,,False,0.0,0.0,3827.0,"POLYGON ((-122.198304 37.791118, -122.194306 37.793458, -122.191623 37.795028, -122.191543 37.795091, -122.191046 37.795698, -122.192472 37.797505, -122.193066 37.798061, -122.191753 37.798872, -122.187682 37.798822, -122.185369 37.798489, -122.184387 37.797244, -122.18569 37.79589, -122.185886 37.793673, -122.184278 37.791537, -122.185984 37.789802, -122.188276 37.790636, -122.190123 37.789692, -122.194846 37.787285, -122.198304 37.791118))",0.43980392156862746,0.30366421568627455
76,Census Tract 4070; Alameda County; California,6,1,407000,6001407000,6001407000,6202.0,4847.0,89755.0,2226.0,1357.0,119.0,157.0,155.0,150.0,74.0,161.0,0.0,53.0,0.0,1113.0,35.0,386.0,459.0,233.0,0.0,0.0,882.0,66.30727762803235,31.311769991015275,2.380952380952381,6202.0,1223.0,984.0,113.0,1272.0,0.0,1826.0,784.0,Race - Some Other Race alone,True,False,,True,0.0,0.0,4830.0,"POLYGON ((-122.209819 37.788303, -122.2068 37.790069, -122.204783 37.791252, -122.203203 37.792197, -122.200653 37.793713, -122.198304 37.791118, -122.194846 37.787285, -122.195775 37.786829, -122.196226 37.786591, -122.200124 37.784571, -122.200715 37.784273, -122.20414 37.782517, -122.207444 37.785373, -122.210377 37.787975, -122.209819 37.788303))",0.3926864330637917,0.2611769991015274
77,Census Tract 4071.01; Alameda County; California,6,1,407101,6001407101,6001407101,4053.0,3106.0,48281.0,1150.0,585.0,100.0,154.0,114.0,10.0,49.0,104.0,34.0,0.0,0.0,451.0,13.0,127.0,102.0,134.0,0.0,75.0,682.0,59.56521739130435,40.43478260869565,0.0,4053.0,476.0,749.0,73.0,974.0,0.0,1565.0,216.0,Race - Some Other Race alone,True,True,,True,0.0,0.0,2769.0,"POLYGON ((-122.2191 37.7822, -122.217565 37.783713, -122.215271 37.785099, -122.214028 37.785834, -122.211978 37.78704, -122.209049 37.784397, -122.210697 37.783221, -122.212927 37.781652, -122.216665 37.779038, -122.218004 37.780207, -122.218657 37.780838, -122.2191 37.7822))",0.32721739130434785,0.18530434782608696
